""	"X0"	"X1"
"0"	48	60
"1"	53	64
"2"	54	59
"3"	54	65
"4"	56	64
"5"	56	62
"6"	58	63
"7"	61	59
"8"	61	63
"9"	63	62
"10"	64	53
"11"	65	65
"12"	66	57
"13"	67	62
"14"	49	61
"15"	53	61
"16"	62	60
"17"	64	65
"18"	64	58
"19"	53	57
"20"	47	57
"21"	51	65
"22"	51	59
"23"	55	62
"24"	67	65
"25"	49	62
"26"	60	58
"27"	68	61
"28"	47	78
"29"	48	80
"30"	48	79
"31"	49	80
"32"	50	73
"33"	51	75
"34"	52	71
"35"	52	73
"36"	52	84
"37"	52	78
"38"	53	76
"39"	53	86
"40"	54	86
"41"	55	80
"42"	55	72
"43"	56	77
"44"	56	71
"45"	57	82
"46"	61	70
"47"	61	75
"48"	62	70
"49"	62	82
"50"	62	86
"51"	63	76
"52"	63	78
"53"	64	86
"54"	64	74
"55"	65	80
"56"	66	84
"57"	66	72
"58"	67	77
"59"	50	69
"60"	50	68
"61"	54	69
"62"	56	77
"63"	56	76
"64"	56	76
"65"	58	86
"66"	59	75
"67"	65	82
"68"	50	80
"69"	52	81
"70"	54	74
"71"	54	74
"72"	67	86
"73"	55	78
"74"	56	68
"75"	65	69
"76"	47	72
"77"	51	78
"78"	51	67
"79"	54	81
"80"	55	81
"81"	58	72
"82"	59	70
"83"	59	71
"84"	60	85
"85"	60	67
"86"	60	82
"87"	60	83
"88"	61	80
"89"	61	77
"90"	65	80
"91"	65	77
"92"	66	87
"93"	66	86
"94"	47	102
"95"	48	104
"96"	48	90
"97"	48	95
"98"	49	100
"99"	49	95
"100"	49	93
"101"	50	98
"102"	52	102
"103"	53	95
"104"	53	107
"105"	54	90
"106"	54	101
"107"	55	104
"108"	55	109
"109"	56	91
"110"	56	109
"111"	57	100
"112"	57	104
"113"	58	90
"114"	59	107
"115"	60	97
"116"	61	97
"117"	62	106
"118"	63	95
"119"	64	91
"120"	64	103
"121"	66	102
"122"	66	99
"123"	52	100
"124"	59	93
"125"	67	107
"126"	49	109
"127"	61	109
"128"	65	100
"129"	67	89
"130"	51	100
